subject	hemi	CA1	CA2	CA4_DG	CA3	Tail	Sub	Cyst
sub-7027863	L	692.1384015083313	6.71386456489563	375.36606431007385	106.81148171424866	163.5741548538208	1024.474697470665	784.3014514446259
sub-7027863	R	820.007003903389	18.310539722442627	456.2376147508621	77.81979382038116	27.46580958366394	1044.9214668273926	756.8356418609619
sub-6451366	L	703.4296949207783	24.414045810699463	549.9263818860054	174.8656031191349	0.0	1312.8653134703636	773.6200766265392
sub-6451366	R	686.0346872806549	32.34861069917679	658.2637101709843	108.6425038576126	28.68650382757187	1378.172886013985	656.1274811625481
sub-8244977	L	784.606397241354	27.465801537036896	455.93230551481247	143.7376947104931	86.6698626279831	1242.369756191969	784.606397241354
sub-8244977	R	860.5951148271561	35.40036642551422	522.7657559216022	119.01847332715988	58.28853437304497	1240.8438783288002	606.6890383958817
sub-9578406	L	881.9585245847702	29.29689216613769	578.6136202812195	137.0240060687065	0.0	1328.73613011837	682.983798623085
sub-9578406	R	881.3481726646423	41.198754608631134	609.4363922476768	78.12504577636719	0.0	1136.4752752780914	614.9295595288277
sub-9686611	L	631.1015434265137	29.907133102416992	428.1602830886841	121.1544065475464	62.25566482543945	1023.5563716888428	636.594690322876
sub-9686611	R	718.0763692855835	45.77622413635254	488.58489894866943	121.1544065475464	0.0	1012.8752527236938	515.1351089477539
sub-7840988	L	762.3290271162987	27.770993381738663	458.98433017730713	133.6669791340828	209.6557412445545	1061.4012635350227	730.2855732142925
sub-7840988	R	786.7430872321129	28.381344884634014	583.4960367679596	97.04588896036148	77.51464086771011	992.4315437078476	458.98433017730713
sub-7982706	L	608.5212803483009	6.408699542284012	364.3803454041481	109.86342072486876	3.967290192842484	1017.4573463797568	1108.399844646454
sub-7982706	R	479.4317609965801	1.5258808434009552	259.3997433781624	28.99173602461815	24.414093494415283	1256.1051102876663	840.1499923765659
sub-8749907	L	881.6531764268875	25.329599738121036	535.2785294055939	117.79789757728577	0.0	1326.904815196991	836.4871431589127
sub-8749907	R	759.2776403427124	36.01075625419617	489.8073202371597	84.5337244272232	0.0	1291.809586644173	661.3161762952805
sub-9938814	L	705.8722024261951	39.06253433227539	577.3930855989456	143.4327432513237	0.0	1052.5521946251392	829.1633264124393
sub-9938814	R	826.7219180166721	54.93168890476227	616.7607959806919	129.69982102513313	0.0	1145.6308897137642	617.0659720301628
sub-7130957	L	656.43310546875	26.85546875	495.91064453125	111.99951171875	3.0517578125	1243.896484375	812.98828125
sub-7130957	R	772.0947265625	41.50390625	534.97314453125	76.904296875	0.0	1061.09619140625	547.79052734375
sub-7447784	L	889.5872285962105	49.7436426281929	465.6981512308121	120.84958577156068	184.0209601521492	1161.498796582222	795.2879306077957
sub-7447784	R	842.2849917411804	72.32664602994919	544.1283116936684	144.95846778154373	166.01559257507324	1096.496367871761	458.9842853546143
sub-9745500	L	980.5290191173552	14.648426055908203	557.555716753006	137.02381873130798	163.87926650047302	1224.0591022968292	693.9691843986511
sub-9745500	R	915.2214529514312	26.85544776916504	550.2315037250519	121.76504158973694	56.45747542381287	1301.8788657188416	666.1982100009918
sub-7698204	L	606.6890383958817	11.596671760082245	313.41531309485435	74.15766414999962	0.0	1187.4381531178951	712.5849620997906
sub-7698204	R	580.138763576746	22.582992374897003	363.1589314341545	55.84712979197502	4.272458016872406	1144.713572949171	574.9507788419724
sub-6363167	L	698.8529485464096	23.80372488498688	588.3792510032654	148.92586851119995	13.122566282749176	1456.2996814250946	755.6156771183014
sub-6363167	R	932.3125579953194	41.809106528759	668.3353525400162	122.6807359457016	0.0	1260.6818910241127	561.5237665176392
sub-7625176	L	694.5812990665436	33.56939494609833	410.1569709777832	129.39475870132446	227.05118036270144	986.0246824622154	616.456161737442
sub-7625176	R	723.2678729295731	74.76819783449173	627.4425091743469	130.61546397209167	56.15244245529175	965.2726928591728	625.9166275858879
sub-9572797	L	803.8337143063545	0.3051760494709015	374.75618875026703	71.41119557619095	22.88820371031761	1241.7613452970982	984.1927595436572
sub-9572797	R	548.40136089921	0.0	278.01538106799126	43.94535112380981	134.58263781666756	1257.630499869585	729.3707582354546
sub-8699817	L	787.3529773950577	43.33493131399155	507.5069772899151	124.816809207201	0.0	999.4500003755091	742.4921682178974
sub-8699817	R	803.2221071720123	58.59370994567871	511.16908416152	127.86856493353844	0.0	1050.1091454327106	654.9067788720131
sub-8858912	L	570.6788223981857	32.0434632897377	400.0855273604393	90.33204889297484	10.375978589057922	1370.239525437355	767.8224155902863
sub-8858912	R	708.3131266236305	31.127935767173767	468.1397398710251	97.35109323263168	0.0	1298.8283786773682	628.051880478859
sub-7777200	L	686.646580696106	19.836456775665283	439.4538116455078	105.28580904006958	84.53382349014282	1133.4246225357056	549.0120882987976
sub-7777200	R	672.6084728240967	41.19879484176636	445.557336807251	107.11686658859252	0.0	1091.3102989196775	545.3499732017517
sub-8001042	L	526.1228413581848	21.05712068080902	511.16923391819	107.42183303833008	28.07616090774536	1130.0654765367508	858.4591373205185
sub-8001042	R	601.806405544281	27.16063392162323	514.8313418626785	90.02682030200958	20.14159369468689	1157.226110458374	754.3942365646362
sub-9198294	L	554.503907173872	10.986318469047546	365.60026460886	106.81142956018448	169.06723421812055	985.10655605793	709.2278922796249
sub-9198294	R	630.1874344050884	2.441404104232788	367.1261421740055	69.27484145760536	118.40809905529022	1067.1987690627575	532.836445748806
sub-7307768	L	759.2769730091095	39.97800782322884	557.2507044672966	137.02385887503624	64.69723403453827	1123.9618535339832	789.7945362329483
sub-7307768	R	794.3721707165241	52.795384377241135	639.6481251716614	131.53069749474523	32.348617017269135	1085.8148995041847	578.6129987239838
sub-8517582	L	717.4705738723278	20.14166647195816	568.8494894504547	129.7001250088215	50.04898941516876	1428.8376124501228	941.7754959464072
sub-8517582	R	775.4541591703892	56.45770147442818	581.9720903337002	115.96717059612274	0.0	964.3585765361786	902.7128700613976
sub-6686191	L	653.6860765814781	14.648427486419678	417.78535893559456	126.9530382156372	296.9358321726322	1097.7165347635746	713.5004888176918
sub-6686191	R	809.0204430520535	37.53659543395042	527.0382139384747	90.9423206448555	115.35636645555496	1048.583267569542	727.8437407314777
sub-6653277	L	675.9644874930382	13.732912838459017	368.3472399115562	100.70802748203278	45.77637612819672	1211.8532640337944	727.8443804383278
