subject	hemi	CA1	CA2	CA4_DG	CA3	Tail	Sub	SRLM	Cyst
sub-7027863	L	591.3368541738018	71.976103967987	246.32035580463707	146.93621224630624	342.92049534153193	562.3608123185113	525.4647590229288	34.392049678601325
sub-7027863	R	614.072887015529	75.64010926056653	249.1763599300757	235.7603405509144	235.26433983445168	659.3129523638636	522.4407546548173	32.60004709009081
sub-6451366	L	722.6678278204054	70.35959379281849	333.5580742685124	152.8471175674349	496.06113608926535	706.9319186685607	628.804369722493	13.10392434708774
sub-6451366	R	663.6281686741859	83.82351606152952	310.51020733080804	212.13477528188375	360.9259162656963	780.0194967119023	591.3245861046016	15.663909567520022
sub-8244977	L	685.2527391761541	66.09645712003112	324.13824172504246	140.67297288775444	449.7951107621193	650.0204955115914	594.1881093773991	43.05629777535796
sub-8244977	R	712.5729281213135	69.7684825155884	334.242311604321	167.9611616116017	356.8984682932496	750.3571894355118	637.3724080380052	20.62414263561368
sub-9578406	L	755.3743672994897	75.42463577911258	396.171339458786	148.88925503659993	511.5723122116178	741.5582508388907	682.3417516835034	39.70433468092233
sub-9578406	R	719.4700646502897	79.38466915953904	423.3955689407885	175.06547568459064	439.5877054296434	774.9265321111307	693.605846632272	43.94437042158097
sub-9686611	L	580.8963657170534	55.83203515037894	263.7361660413444	120.66407596692444	429.5522704347968	589.3123710155487	565.6643561273813	19.61601234972477
sub-9686611	R	587.7923700585961	57.808036394417286	290.70418301969767	142.88808995857835	355.8002240024507	664.1524181328714	592.0803727582097	17.58401107043028
sub-7840988	L	719.7790507338941	51.16821687296033	283.6172020919621	131.18455601669848	456.097933139652	709.6270077051595	595.5385241489857	17.264073172584176
sub-7840988	R	768.1632558070123	77.60832893755287	290.0572293875739	199.30484473984689	393.94566971156746	769.3712609270588	700.4029686097056	20.89608856663108
sub-7982706	L	544.7538015637547	45.32014987897128	250.22482752241197	97.9843240454793	313.76103764399886	579.4819164136425	483.38559861201793	27.67209151480347
sub-7982706	R	397.273313828744	72.06423832476139	182.95260504540056	173.8885750696063	195.77664745599031	578.1139118894935	411.9133622450754	25.344083815813065
sub-8749907	L	729.5819112844765	72.34379288740456	399.8708552122116	157.2715497482568	488.3826018124819	766.1258066631854	695.9260076377541	56.29583883099258
sub-8749907	R	689.2060268763453	80.63176915980875	373.8949295785278	184.343472244218	457.4386904016137	809.0776836965233	696.8140050955117	37.60789233259857
sub-9938814	L	620.8842940069735	60.2484166752547	384.1226565744728	141.9689818508923	486.9313675947488	677.7806874997914	641.7964386343956	23.72016404755413
sub-9938814	R	700.6928459592164	76.34452799521387	374.4105894062668	235.1536263115704	378.8506201133132	728.5330385006964	699.9488408137113	22.184153424575925
